CLT DATA 19-10-2023,,,,,,,,,,,,,,
CLT PLATE,L1 (CM),L2 (CM),L3(CM),LENGTH (M),W1 (CM),W2 (CM),W3 (CM),WIDTH (M),T1 (CM),T2 (CM),T3 (CM),THICKNESS (M),WEIGHT(KG),DENSITY(kg/m3)
A1,287.0,287.0,287.0,2.87,114.0,114.0,114.0,1.14,10.0,10.0,10.0,0.10,151.00,462
A2,287.0,287.0,287.0,2.87,114.0,114.0,114.0,1.14,10.0,10.0,10.0,0.10,153.00,468
A3,287.0,287.0,287.0,2.87,114.0,114.0,114.0,1.14,10.0,10.0,10.0,0.10,152.00,465
B1,170.0,169.9,170.0,1.70,114.0,114.0,114.0,1.14,6.0,6.0,6.0,0.06,52.00,447
B2,169.8,169.9,169.9,1.70,114.0,114.0,114.0,1.14,6.1,6.0,6.0,0.06,52.00,445
B3,170.0,170.0,170.0,1.70,113.9,113.9,113.9,1.14,6.0,6.0,6.0,0.06,53.00,456
C1,151.9,152.0,152.0,1.52,114.0,114.0,114.0,1.14,6.0,6.0,6.0,0.06,47.00,452
C2,151.9,152.0,152.0,1.52,114.0,114.0,114.0,1.14,6.0,6.0,6.0,0.06,49.00,471
C3,152.0,152.0,152.0,1.52,114.0,114.0,114.0,1.14,6.0,6.0,6.0,0.06,48.00,462
